City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,cidreira,-30.1811,-50.2056,292.06,66,100,4.15,BR,1683735111
109,gidam,18.9833,81.4,304.19,45,100,1.68,IN,1683735111
110,poronaysk,49.2167,143.1167,274.1,86,100,1.91,RU,1683735111
111,kapuskasing,49.4169,-82.4331,292.64,44,0,2.78,CA,1683735112
112,sandnessjoen,66.0217,12.6316,289.44,47,0,2.06,NO,1683735112
113,namtsy,62.7161,129.6658,276.81,96,99,5.39,RU,1683735112
114,sungai penuh,-2.0833,101.3833,292.66,95,95,1.48,ID,1683735113
115,bonne terre,37.9231,-90.5554,297.8,66,96,3.58,US,1683735113
116,mareeba,-17.0,145.4333,290.55,89,9,1.01,AU,1683735113
117,midvagur,62.0511,-7.1939,283.61,87,100,2.57,FO,1683735113
118,taroa,8.7058,171.2275,300.84,82,86,7.87,MH,1683735114
119,ar ruways,24.1103,52.7306,304.1,38,0,3.88,AE,1683735114
120,atafu village,-8.5421,-172.5159,302.28,78,28,6.96,TK,1683735114
121,erenhot,43.6475,111.9767,289.16,39,100,7.47,CN,1683735114
122,shimoda,34.6667,138.95,286.54,72,82,2.04,JP,1683735115
123,la passe,45.5549,-0.8967,292.28,68,34,7.64,FR,1683735115
124,whitehorse,60.7161,-135.0538,280.38,49,79,6.71,CA,1683735115
125,dapa,9.7594,126.0531,300.71,75,28,1.69,PH,1683735115
126,saint-philippe,-21.3585,55.7679,298.92,79,28,4.33,RE,1683735116
127,patnanungan,14.7833,122.1833,299.91,85,76,4.12,PH,1683735116
128,guiuan,11.0333,125.7247,301.83,74,41,2.32,PH,1683735116
129,swift current,50.2834,-107.8014,287.35,61,38,1.61,CA,1683735117
130,sisimiut,66.9395,-53.6735,274.56,73,22,4.74,GL,1683735117
131,west island,-12.1568,96.8225,299.14,94,40,4.63,CC,1683735117
132,jamestown,42.097,-79.2353,290.94,40,0,2.24,US,1683735117
133,ugoofaaru,5.6667,73.0,301.57,77,100,2.71,MV,1683735123
134,haiku-pauwela,20.9219,-156.3051,295.4,74,20,3.13,US,1683735123
135,badger,64.8,-147.5333,280.29,67,75,1.54,US,1683735124
136,arris,35.2588,6.3471,294.96,31,61,4.89,DZ,1683735126
137,hawaiian paradise park,19.5933,-154.9731,293.17,95,40,2.57,US,1683735126
138,frenda,35.0654,1.0495,298.11,32,5,7.37,DZ,1683735127
139,onega,63.9061,38.1404,285.88,57,97,0.48,RU,1683735128
140,ambovombe,-25.1667,46.0833,296.04,85,3,6.14,MG,1683735128
141,villa regina,-39.1,-67.0667,290.36,20,100,5.65,AR,1683735129
142,troitsk,54.0979,61.5773,280.38,43,100,1.34,RU,1683735129
